,Item_Identifier,Outlet_Identifier,Unnamed 0
0,FDW58,OUT049,1636.7028499999994
1,FDW14,OUT017,1120.0420500000005
2,NCN55,OUT010,424.66055600000004
3,FDQ58,OUT017,2027.4941599999997
4,FDY38,OUT027,4648.668863999999
5,FDH56,OUT046,1463.3085559999997
6,FDL48,OUT018,762.9135880000001
7,FDC48,OUT027,1403.1069200000004
8,FDN33,OUT045,1458.9009600000002
9,FDA36,OUT017,2134.0687660000012
10,FDT44,OUT017,1469.367336
11,FDQ56,OUT045,1157.0272400000001
12,NCC54,OUT019,537.347206
13,FDU11,OUT049,1988.245249999999
14,DRL59,OUT013,783.0673539999999
15,FDM24,OUT049,2049.5454559999985
16,FDI57,OUT045,3101.742486
17,DRC12,OUT018,2559.994342000001
18,NCM42,OUT027,2462.0551619999987
19,FDA46,OUT010,374.92529600000023
20,FDA31,OUT013,2305.6787159999985
21,NCJ31,OUT035,3157.7695560000016
22,FDG52,OUT046,598.2146419999999
23,NCL19,OUT019,316.168446
24,FDS10,OUT035,2436.548364
25,FDX22,OUT010,529.0313639999997
26,NCF19,OUT035,561.8486459999999
27,NCE06,OUT046,1652.14941
28,DRC27,OUT046,2608.631032
29,FDE21,OUT035,1403.7394300000003
30,NCR42,OUT019,74.52299399999997
31,FDX51,OUT018,2709.4331519999996
32,NCR06,OUT018,493.4243800000006
33,FDU31,OUT027,4252.011856000003
34,FDU59,OUT017,1802.8332659999985
35,FDR03,OUT027,4485.454652000002
36,FDS49,OUT027,1634.7653720000003
37,FDD48,OUT010,209.8601600000001
38,NCF18,OUT017,2757.084458
39,NCD43,OUT027,2081.597067999999
40,NCD54,OUT018,1911.4984839999988
41,FDY19,OUT010,210.85220199999995
42,NCY54,OUT017,2356.652364
43,NCL19,OUT018,1695.3598300000006
44,FDP23,OUT010,487.89158199999986
45,FDC26,OUT013,1724.2954980000006
46,FDR14,OUT010,116.16212600000003
47,NCS41,OUT035,2324.6739899999993
48,FDF41,OUT035,2732.443200000001
49,FDU34,OUT046,1942.7711100000004
50,DRH11,OUT046,780.9700839999996
51,FDM03,OUT013,1340.035685999999
52,FDS31,OUT017,2524.760205999999
53,FDJ20,OUT017,1659.3400499999998
54,FDV44,OUT027,3839.4289120000008
55,FDG02,OUT049,2055.4511020000004
56,FDA09,OUT013,2913.827094000001
57,FDT04,OUT013,623.5882799999998
58,FDL58,OUT019,609.7462980000004
59,FDE52,OUT045,1507.5975719999994
60,FDW12,OUT035,2024.0786059999994
61,FDL51,OUT017,2581.0669120000007
62,NCY42,OUT027,2919.4064979999985
63,FDR07,OUT017,1348.8841679999998
64,FDN40,OUT045,1910.7128399999988
65,FDB35,OUT027,2343.8690040000015
66,FDA22,OUT017,1894.3874239999998
67,NCL06,OUT046,3321.5164079999995
68,FDI35,OUT013,3114.2595260000007
69,NCW42,OUT045,2749.1081739999977
70,NCX06,OUT049,2588.8234819999984
71,FDC37,OUT027,2664.711365999999
72,FDZ14,OUT018,1154.6636500000009
73,DRG49,OUT049,3462.080104
74,NCG06,OUT045,3004.0762839999998
75,DRC36,OUT045,2170.501342
76,FDV21,OUT019,286.01436399999983
77,FDB53,OUT046,1534.1097279999997
78,DRP47,OUT019,503.9639940000003
79,FDA14,OUT013,2241.2026439999995
80,DRC24,OUT035,2373.9897960000003
81,FDW21,OUT018,1370.995386
82,NCH29,OUT046,1355.8817259999987
83,FDU58,OUT013,2304.733279999999
84,FDY27,OUT017,2722.3962779999997
85,FDV56,OUT035,1311.9988480000002
86,FDT59,OUT046,2708.5276640000016
87,FDB23,OUT046,4036.971772000004
88,FDR49,OUT045,606.5371419999999
89,FDB03,OUT010,485.0353000000003
90,FDN39,OUT045,2097.17013
91,FDX02,OUT027,4361.329557999999
92,FDQ16,OUT027,2801.3202099999994
93,FDU35,OUT018,1256.6242619999994
